"","color","names","degree"
"310","#FAF4FE","Myrothecium",3
"311","#E2BBFA","Nadsonia",4
"312","#D9A7F9","Naganishia",3
"313","#AC3EF2","Neobulgaria",0
"314","#F3E4FD","Nigrospora",2
"315","#C679F6","Oberwinklerozyma",3
"316","#D092F7","Oberwinklerozyma",4
"317","#D7A3F8","Occultifur",0
"318","#FAF4FE","Ochroconis",0
"319","#BB61F4","Oidiodendron",6
"320","#C880F6","Oidiodendron",4
"321","#EFDBFC","Oidiodendron",0
"322","#E9CBFB","Oidiodendron",6
"323","#B859F3","Oidiodendron",2
"324","#E9CBFB","Oidiodendron",0
"325","#A020F0","Oidiodendron",0
"326","#A020F0","Oidiodendron",0
"327","#D59CF8","Oidiodendron",0
"328","#C679F6","Olpidium",1
"329","#E0B6FA","Olpidium",1
"330","#ECD3FC","Ophiocordyceps",2
"331","#ECD3FC","Papiliotrema",3
"332","#FAF4FE","Paracamarosporium",0
"333","#D9A7F9","Paraconiothyrium",11
"334","#BC61F4","paranamyces",0
"335","#AF43F2","Paraphaeosphaeria",2
"336","#A62EF0","Penicillium",0
"337","#F3E4FD","Penicillium",2
"338","#E4C1FA","Penicillium",4
"339","#BC61F4","Penicillium",0
"340","#D296F7","Penicillium",0
"341","#BB60F4","Penicillium",0
"342","#DBACF9","Penicillium",0
"343","#B655F3","Penicillium",1
"344","#EFDBFC","Penicillium",5
"345","#FAF4FE","Pestalotiopsis",0
"346","#F3E4FD","Pestalotiopsis",5
"347","#F3E4FD","Pestalotiopsis",0
"348","#E2BBFA","Pestalotiopsis",4
"349","#CC88F7","Pezoloma",4
"350","#A022F0","Pezoloma",0
"351","#A226F0","Pezoloma",0
"352","#C271F5","Pezoloma",5
"353","#CE8CF7","Pezoloma",0
"354","#AE41F2","Phacidium",0
"355","#C06CF5","Phaeotremella",1
"356","#CA84F6","Phialemonium",1
"357","#FAF4FE","Phialocephala",1
"358","#ECD3FC","Phialocephala",0
"359","#EFDBFC","Phialocephala",0
"360","#EFDBFC","Phlyctochytrium",3
"361","#C06CF5","Pholiota",0
"362","#FFFFFF","Phomopsis",15
"363","#F3E4FD","Phyllosticta",15
"364","#E6C4FB","Piptoporus",0
"365","#FAF4FE","Piskurozyma",4
